js 24.2.0-4
js38 38.8.0-3
json-c 0.12.1-1
json-glib 1.2.8-1
jsoncpp 1.8.0-1
jupyter 4.1.0-6
jupyter-nbformat 4.3.0-1
jupyter-notebook 5.0.0-1
jupyter-widgetsnbextension 1:2.0.0-1
jupyter_console 5.1.0-1
karchive 5.34.0-1
kauth 5.34.0-1
kbd 2.0.4-1
kbookmarks 5.34.0-1
kbproto 1.0.7-1
kcmutils 5.34.0-1
kcodecs 5.34.0-1
kcompletion 5.34.0-1
kconfig 5.34.0-1
kconfigwidgets 5.34.0-1
kcoreaddons 5.34.0-1
kcrash 5.34.0-1
kdbusaddons 5.34.0-1
kdebase-runtime 17.04.1-1
kdeclarative 5.34.0-1
kdeconnect 1.0.3-1
kdelibs 4.14.32-2
keyutils 1.5.10-1
kglobalaccel 5.34.0-1
kguiaddons 5.34.0-1
ki18n 5.34.0-1
kicad 4.0.6-2
kicad-library 4.0.6-1
kicad-library-3d 4.0.6-1
kiconthemes 5.34.0-1
kinit 5.34.0-1
kio 5.34.0-1
kitemviews 5.34.0-1
kjobwidgets 5.34.0-1
kmod 24-1
knotifications 5.34.0-1
kpackage 5.34.0-1
krb5 1.15-1
kservice 5.34.0-1
ktextwidgets 5.34.0-1
kwallet 5.34.0-1
kwayland 5.34.0-1
kwidgetsaddons 5.34.0-1
kwindowsystem 5.34.0-1
kxmlgui 5.34.0-1
ladspa 1.13-6
lame 3.99.5-3
lapack 3.7.0-1
launch-cmd 1.0.1-1
lcms 1.19-5
lcms2 2.8-2
ldb 1.1.29-1
ldns 1.7.0-3
leptonica 1.74.1-1
less 487-1
leveldb 1.20-1
lhasa 0.3.1-1
lib32-alsa-lib 1.1.4-1
lib32-alsa-plugins 1.1.4-1
lib32-atk 2.24.0+4+gbf71ccc-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.14.6-2
lib32-dbus 1.10.18-1
lib32-e2fsprogs 1.43.4-1
lib32-expat 2.2.0-1
